Round:2; max power:1382.62; sample size:159; Yaw:210.5; Pitch: 21.9
Round:4; max power:1407.34; sample size:164; Yaw:347.8; Pitch: 58.9
Round:6; max power:1991.61; sample size:173; Yaw:201.4; Pitch: 95.9
Round:8; max power:1887.43; sample size:178; Yaw:201.1; Pitch: 155.9
Round:10; max power:2066.44; sample size:180; Yaw:200.3; Pitch: 155.9
Round:12; max power:2403.02; sample size:177; Yaw:203.5; Pitch: 118.6
Round:14; max power:2463.33; sample size:181; Yaw:203.2; Pitch: 64
Round:16; max power:2571.7; sample size:184; Yaw:203.9; Pitch: 64.2
Round:18; max power:2946.28; sample size:178; Yaw:204.9; Pitch: 91.5
Round:20; max power:2862.5; sample size:181; Yaw:205.1; Pitch: 64.5
Round:22; max power:2719; sample size:182; Yaw:206.2; Pitch: 91.6
Round:24; max power:2190.95; sample size:182; Yaw:206.2; Pitch: 91.2
Round:26; max power:2207.81; sample size:177; Yaw:206.1; Pitch: 118.1
Round:28; max power:1840.25; sample size:184; Yaw:206.4; Pitch: 118.1
Round:30; max power:1747.33; sample size:184; Yaw:206.2; Pitch: 118.3
Round:32; max power:1707.32; sample size:183; Yaw:206.8; Pitch: 91.3
Round:34; max power:1727.29; sample size:182; Yaw:206.9; Pitch: 91.2
Round:36; max power:1614.62; sample size:186; Yaw:208.1; Pitch: 21.7
Round:38; max power:1572.52; sample size:185; Yaw:208.3; Pitch: 21.6
Round:40; max power:1494.49; sample size:183; Yaw:6.4; Pitch: 160.6
Round:42; max power:1531.4; sample size:183; Yaw:208.5; Pitch: 21.8
Round:44; max power:1889.74; sample size:184; Yaw:6.9; Pitch: 9.9
Round:46; max power:2091.3; sample size:177; Yaw:328.5; Pitch: 36.2
Round:48; max power:1920.84; sample size:175; Yaw:329.1; Pitch: 35.9
Round:50; max power:1941.42; sample size:175; Yaw:209.6; Pitch: 22
Round:52; max power:2053.18; sample size:175; Yaw:209.1; Pitch: 21.6
Round:54; max power:2013.82; sample size:178; Yaw:200.8; Pitch: 94.3
Round:56; max power:1869.83; sample size:179; Yaw:200.6; Pitch: 93.7
Round:58; max power:2181.17; sample size:180; Yaw:201; Pitch: 91.7
Round:60; max power:2577.2; sample size:180; Yaw:6.6; Pitch: 161.1
Round:62; max power:2289.07; sample size:181; Yaw:6.5; Pitch: 160.8
