Round:1; max power:6176.1; sample size:152; Alpha:184
Round:2; max power:5885.78; sample size:152; Alpha:181
Round:3; max power:5524.44; sample size:152; Alpha:181
Round:4; max power:5329.67; sample size:152; Alpha:181
Round:5; max power:5159.84; sample size:152; Alpha:184
Round:6; max power:4968.77; sample size:152; Alpha:181
Round:7; max power:4776.5; sample size:152; Alpha:180
Round:8; max power:4761.51; sample size:152; Alpha:180
Round:9; max power:4820.08; sample size:152; Alpha:180
Round:10; max power:5144.72; sample size:152; Alpha:180
Round:11; max power:5362.08; sample size:152; Alpha:180
Round:12; max power:5542.16; sample size:152; Alpha:180
Round:13; max power:5792.58; sample size:152; Alpha:0
Round:14; max power:6051.06; sample size:152; Alpha:0
Round:15; max power:6579.39; sample size:152; Alpha:0
Round:16; max power:7017.98; sample size:152; Alpha:0
Round:17; max power:7527.41; sample size:152; Alpha:0
Round:18; max power:8083.37; sample size:152; Alpha:0
Round:19; max power:8759.11; sample size:152; Alpha:0
Round:20; max power:9264.44; sample size:152; Alpha:0
Round:21; max power:9452.6; sample size:152; Alpha:339
Round:22; max power:9538.35; sample size:152; Alpha:180
Round:23; max power:9703.24; sample size:152; Alpha:180
Round:24; max power:10198; sample size:152; Alpha:180
Round:25; max power:10668.8; sample size:152; Alpha:179
Round:26; max power:10666.1; sample size:152; Alpha:1
Round:27; max power:10833.6; sample size:152; Alpha:0
Round:28; max power:10812.3; sample size:152; Alpha:0
Round:29; max power:10609.7; sample size:152; Alpha:0
Round:30; max power:10403.5; sample size:152; Alpha:1
Round:31; max power:10008.4; sample size:152; Alpha:179
Round:32; max power:9416.02; sample size:152; Alpha:180
Round:33; max power:9166.16; sample size:152; Alpha:181
Round:34; max power:8884.66; sample size:152; Alpha:185
Round:35; max power:8689.03; sample size:152; Alpha:182
Round:36; max power:7958.57; sample size:152; Alpha:182
Round:37; max power:7747.23; sample size:152; Alpha:182
Round:38; max power:7571.89; sample size:152; Alpha:192
Round:39; max power:7381.88; sample size:152; Alpha:182
Round:40; max power:7368.73; sample size:152; Alpha:184
Round:41; max power:7182.7; sample size:152; Alpha:0
Round:42; max power:6942.41; sample size:152; Alpha:0
Round:43; max power:6869.05; sample size:152; Alpha:0
Round:44; max power:6870.57; sample size:152; Alpha:0
Round:45; max power:6753.74; sample size:152; Alpha:0
Round:46; max power:6586.29; sample size:152; Alpha:44
Round:47; max power:3469.41; sample size:152; Alpha:290
Round:48; max power:3409.64; sample size:152; Alpha:358
Round:49; max power:3243.94; sample size:152; Alpha:327
Round:50; max power:3132.24; sample size:152; Alpha:319
Round:51; max power:2998.97; sample size:152; Alpha:317
Round:52; max power:3031.96; sample size:152; Alpha:317
Round:53; max power:2927.8; sample size:152; Alpha:317
Round:54; max power:2866.73; sample size:152; Alpha:318
Round:55; max power:2879.39; sample size:152; Alpha:318
Round:56; max power:2920.23; sample size:152; Alpha:316
Round:57; max power:3013.19; sample size:152; Alpha:310
Round:58; max power:3022.88; sample size:152; Alpha:296
Round:59; max power:3093.41; sample size:152; Alpha:292
Round:60; max power:3112.35; sample size:152; Alpha:273
Round:61; max power:3182.18; sample size:152; Alpha:183
Round:62; max power:3346.33; sample size:152; Alpha:292
